id	name	other_data
22015	Bossier	State
22017	Caddo	State
22019	Calcasieu	State
22021	Caldwell	State
22023	Cameron	State
22025	Catahoula	State
22027	Claiborne	State
22029	Concordia	State
22031	De Soto	State
22033	East Baton Rouge	State
22035	East Carroll	State
22037	East Feliciana	State
22039	Evangeline	State
22041	Franklin	State
22043	Grant	State
22045	Iberia	State
22047	Iberville	State
22049	Jackson	State
22051	Jefferson	State
22053	Jefferson Davis	State
22055	Lafayette	State
22057	Lafourche	State
22059	La Salle	State
22061	Lincoln	State
22063	Livingston	State
22065	Madison	State
22067	Morehouse	State
22069	Natchitoches	State
22071	Orleans	State
22073	Ouachita	State
22075	Plaquemines	State
22077	Pointe Coupee	State
22079	Rapides	State
22081	Red River	State
22083	Richland	State
22085	Sabine	State
22087	St. Bernard	State
22089	St. Charles	State
22091	St. Helena	State
22093	St. James	State
22095	St. John the Baptist	State
22097	St. Landry	State
22099	St. Martin	State
22101	St. Mary	State
22103	St. Tammany	State
22105	Tangipahoa	State
22107	Tensas	State
22109	Terrebonne	State
22111	Union	State
22113	Vermilion	State
22115	Vernon	State
22117	Washington	State
22119	Webster	State
22121	West Baton Rouge	State
22123	West Carroll	State
22125	West Feliciana	State
22127	Winn	State
23000	Maine	State
23001	Androscoggin	State
23003	Aroostook	State
23005	Cumberland	State
23007	Franklin	State
23009	Hancock	State
23011	Kennebec	State
23013	Knox	State
23015	Lincoln	State
23017	Oxford	State
23019	Penobscot	State
23021	Piscataquis	State
23023	Sagadahoc	State
23025	Somerset	State
23027	Waldo	State
23029	Washington	State
23031	York	State
24000	Maryland	State
24001	Allegany	State
24003	Anne Arundel	State
24005	Baltimore	State
24009	Calvert	State
24011	Caroline	State
24013	Carroll	State
24015	Cecil	State
24017	Charles	State
24019	Dorchester	State
24021	Frederick	State
24023	Garrett	State
24025	Harford	State
24027	Howard	State
24029	Kent	State
24031	Montgomery	State
24033	Prince George's	State
24035	Queen Anne's	State
24037	St. Mary's	State
24039	Somerset	State
24041	Talbot	State
24043	Washington	State
24045	Wicomico	State
24047	Worcester	State
24510	Baltimore city	State
25000	Massachusetts	State
25001	Barnstable	State
25003	Berkshire	State
25005	Bristol	State
25007	Dukes	State
25009	Essex	State
25011	Franklin	State
25013	Hampden	State
25015	Hampshire	State
25017	Middlesex	State
25019	Nantucket	State
25021	Norfolk	State
25023	Plymouth	State
25025	Suffolk	State
25027	Worcester	State
26000	Michigan	State
26001	Alcona	State
26003	Alger	State
26005	Allegan	State
26007	Alpena	State
26009	Antrim	State
26011	Arenac	State
26013	Baraga	State
26015	Barry	State
26017	Bay	State
26019	Benzie	State
26021	Berrien	State
26023	Branch	State
26025	Calhoun	State
26027	Cass	State
26029	Charlevoix	State
26031	Cheboygan	State
26033	Chippewa	State
26035	Clare	State
26037	Clinton	State
26039	Crawford	State
26041	Delta	State
26043	Dickinson	State
26045	Eaton	State
26047	Emmet	State
26049	Genesee	State
26051	Gladwin	State
26053	Gogebic	State
26055	Grand Traverse	State
26057	Gratiot	State
26059	Hillsdale	State
26061	Houghton	State
26063	Huron	State
26065	Ingham	State
26067	Ionia	State
26069	Iosco	State
26071	Iron	State
26073	Isabella	State
26075	Jackson	State
26077	Kalamazoo	State
26079	Kalkaska	State
26081	Kent	State
26083	Keweenaw	State
26085	Lake	State
26087	Lapeer	State
26089	Leelanau	State
26091	Lenawee	State
26093	Livingston	State
26095	Luce	State
26097	Mackinac	State
26099	Macomb	State
26101	Manistee	State
26103	Marquette	State
26105	Mason	State
26107	Mecosta	State
26109	Menominee	State
26111	Midland	State
26113	Missaukee	State
26115	Monroe	State
26117	Montcalm	State
26119	Montmorency	State
26121	Muskegon	State
26123	Newaygo	State
26125	Oakland	State
26127	Oceana	State
26129	Ogemaw	State
26131	Ontonagon	State
26133	Osceola	State
26135	Oscoda	State
26137	Otsego	State
26139	Ottawa	State
26141	Presque Isle	State
26143	Roscommon	State
26145	Saginaw	State
26147	St. Clair	State
26149	St. Joseph	State
26151	Sanilac	State
26153	Schoolcraft	State
26155	Shiawassee	State
26157	Tuscola	State
26159	Van Buren	State
26161	Washtenaw	State
26163	Wayne	State
26165	Wexford	State
27000	Minnesota	State
27001	Aitkin	State
27003	Anoka	State
27005	Becker	State
27007	Beltrami	State
27009	Benton	State
27011	Big Stone	State
27013	Blue Earth	State
27015	Brown	State
27017	Carlton	State
27019	Carver	State
27021	Cass	State
27023	Chippewa	State
27025	Chisago	State
27027	Clay	State
27029	Clearwater	State
27031	Cook	State
27033	Cottonwood	State
27035	Crow Wing	State
27037	Dakota	State
27039	Dodge	State
27041	Douglas	State
27043	Faribault	State
27045	Fillmore	State
27047	Freeborn	State
27049	Goodhue	State
27051	Grant	State
27053	Hennepin	State
27055	Houston	State
27057	Hubbard	State
27059	Isanti	State
27061	Itasca	State
27063	Jackson	State
27065	Kanabec	State
27067	Kandiyohi	State
27069	Kittson	State
27071	Koochiching	State
27073	Lac qui Parle	State
27075	Lake	State
27077	Lake of the Woods	State
